id,created_at,text
1539696629682429952,2022-06-22 19:47:37+00:00,"b'En la direcci\xc3\xb3n Periferico Norte, Modelo, Hermosillo, un veh\xc3\xadculo de #CruzRojaMexicana atiende un #accidente de #tr\xc3\xa1nsito, evita esas vialidades https://t.co/OKk4VOrYpj'"
1539675855760359426,2022-06-22 18:25:04+00:00,"b'Una #ambulancia de #CruzRojaMexicana labora atendiendo a un paciente herido por un #accidente de #tr\xc3\xa1nsito en Paseo de las Quintas, Staus, Hermosillo https://t.co/KUXJgNJDfk'"
1539667297102663687,2022-06-22 17:51:03+00:00,"b'#CruzRojaMexicana est\xc3\xa1 ayudando en un #accidente de #tr\xc3\xa1nsito en Carretera Cananea Agua Prieta, El Dorado, Cananea, ten cuidado al pasar por el lugar https://t.co/iBnvpyaEXy'"
1539665772007620610,2022-06-22 17:45:00+00:00,"b'En la direcci\xc3\xb3n Enrique Mazon Lopez, San Luis, Hermosillo, un veh\xc3\xadculo de #CruzRojaMexicana atiende un #accidente de #tr\xc3\xa1nsito, evita esas vialidades https://t.co/WQeCkdjT58'"
1539654406190370818,2022-06-22 16:59:50+00:00,"b'Una #ambulancia de #CruzRojaMexicana est\xc3\xa1 atendiendo un #accidente de #tr\xc3\xa1nsito en Carretera Sonoyta a san Luis, Los vidrios, General Plutarco El\xc3\xadas Calles extrema precauciones al pasar por ese lugar https://t.co/K3xM86RMON'"
1539640029756129283,2022-06-22 16:02:42+00:00,"b'En la direcci\xc3\xb3n Antonio Quiroga, Villa Mercedes, Hermosillo, un veh\xc3\xadculo de #CruzRojaMexicana atiende un #accidente de #tr\xc3\xa1nsito, evita esas vialidades https://t.co/UVH6kBXXjx'"
1539635187256115200,2022-06-22 15:43:28+00:00,"b'En la direcci\xc3\xb3n Sin Nombre, La L\xc3\xadnea (La L\xc3\xadnea de Basconcobe), Etchojoa, un veh\xc3\xadculo de #CruzRojaMexicana atiende un #accidente de #tr\xc3\xa1nsito, evita esas vialidades https://t.co/AypRlOzEUY'"
1539632286013997057,2022-06-22 15:31:56+00:00,"b'#CruzRojaMexicana est\xc3\xa1 ayudando en un #accidente de #tr\xc3\xa1nsito en Veracruz, San Benito, Hermosillo, ten cuidado al pasar por el lugar https://t.co/a8s5OyGSlT'"
1539632209556013056,2022-06-22 15:31:38+00:00,"b'Al transitar por Xolotl, Cuauht\xc3\xa9moc, Hermosillo encontrar\xc3\xa1s un #accidente de #tr\xc3\xa1nsito atendido por #CruzRojaMexicana, ten cuidado y disminuye tu velocidad  https://t.co/hmimtJB8mk'"
1539629390551818241,2022-06-22 15:20:26+00:00,"b'Estamos atendiendo en #CruzRojaMexicana un #accidente de #tr\xc3\xa1nsito en Av Zacatecas y 47, Progreso, San Luis R\xc3\xado Colorado, extrema precacuciones al pasar por ese lugar https://t.co/iSuaI3mfRL'"
1539616321020772352,2022-06-22 14:28:30+00:00,"b'Veh\xc3\xadculos de #emergencia y #CruzRojaMexicana acuden a Luis Encinas Jhonson, Alameda, Hermosillo a auxiliar por un #accidente de #tr\xc3\xa1nsito https://t.co/oSmnxEs01Y'"
1539496515122696192,2022-06-22 06:32:26+00:00,"b'En la direcci\xc3\xb3n No Reeleccion Final, ferrocarrilera, Puerto Pe\xc3\xb1asco, un veh\xc3\xadculo de #CruzRojaMexicana atiende un #accidente de #tr\xc3\xa1nsito, evita esas vialidades https://t.co/gOk0XVzlLp'"
1539494614058643457,2022-06-22 06:24:53+00:00,"b'#CruzRojaMexicana est\xc3\xa1 atendiendo un #accidente de #tr\xc3\xa1nsito en Plutarco Elias Calle, Jacarandas, Navojoa con una #ambulancia donada con tus aportaciones https://t.co/mhJuoOySYp'"
1539464579373219841,2022-06-22 04:25:32+00:00,"b'Un #accidente de #tr\xc3\xa1nsito en Av. Obregon y 27, Bur\xc3\xb3crata, San Luis R\xc3\xado Colorado fue reportado a #CruzRojaMexicana, te recomendamos tener cuidado al transitar en esa zona https://t.co/7Mfb8hHNwS'"
1539461023660486658,2022-06-22 04:11:24+00:00,"b'Al transitar por Calle Cuarta, Esqueda Centro, Fronteras encontrar\xc3\xa1s un #accidente de #tr\xc3\xa1nsito atendido por #CruzRojaMexicana, ten cuidado y disminuye tu velocidad  https://t.co/IdBNZYMa7t'"
1539457962086891520,2022-06-22 03:59:14+00:00,"b'Al transitar por Simon Morua, Puerto Pe\xc3\xb1asco Centro, Puerto Pe\xc3\xb1asco encontrar\xc3\xa1s un #accidente de #tr\xc3\xa1nsito atendido por #CruzRojaMexicana, ten cuidado y disminuye tu velocidad  https://t.co/NgGyp9toM7'"
1539457208777326594,2022-06-22 03:56:14+00:00,"b'En la direcci\xc3\xb3n Ctm, Aves Del Castillo, Cajeme, un veh\xc3\xadculo de #CruzRojaMexicana atiende un #accidente de #tr\xc3\xa1nsito, evita esas vialidades https://t.co/3LhnTIjWu4'"
1539431862048800768,2022-06-22 02:15:31+00:00,"b'Al transitar por Club Rotario, Deportiva, Navojoa encontrar\xc3\xa1s un #accidente de #tr\xc3\xa1nsito atendido por #CruzRojaMexicana, ten cuidado y disminuye tu velocidad  https://t.co/7toqcATbcl'"
1539425799895502848,2022-06-22 01:51:26+00:00,"b'#CruzRojaMexicana est\xc3\xa1 atendiendo un #accidente de #tr\xc3\xa1nsito en Solidaridad, Residencial de Anza, Hermosillo con una #ambulancia donada con tus aportaciones https://t.co/nr5rxsrELu'"
1539422055397003269,2022-06-22 01:36:33+00:00,"b'Personal de #CruzRojaMexicana auxilian a un paciente en Alferez Juan Bautista de Escalante, Cumbres Residencial, Hermosillo, debido a un #accidente de #tr\xc3\xa1nsito https://t.co/DT3ohxI4PK'"
1539417789949169667,2022-06-22 01:19:36+00:00,"b'Al transitar por Angel Garcia Aburto, Jes\xc3\xbas Garcia, Hermosillo encontrar\xc3\xa1s un #accidente de #tr\xc3\xa1nsito atendido por #CruzRojaMexicana, ten cuidado y disminuye tu velocidad  https://t.co/LtfEXYcyG1'"
